Unnamed: 0,Posição,País (ou território dependente),Estimativa da ONU,Data,Estimativa Oficial
,1,Índia,1 429 921 746,2023,Estimativa oficial
,2,China,1 426 391 281,2023,Censo oficial
,3,Estados Unidos,339 987 103,2023,Censo oficial
,4,Indonésia,277 184 719,2023,Estimativa oficial
,5,Paquistão,240 215 932,2023,Estimativa oficial
,6,Nigéria,223 899 057,2023,Estimativa oficial
,7,Brasil,203 062 512,2022,Censo oficial
,8,Bangladesh,172 452 382,2023,Estimativa oficial
,9,Rússia,148 221 749,2023,Estimativa oficial
,10,México,134 127 189,2023,Estimativa oficial
,11,Etiópia,125 092 825,2023,Estimativa oficial
,12,Japão,124 127 899,2023,Estimativa oficial
,13,Filipinas,109 581 078,2020,Estimativa oficial
,14,Egito,102 334 404,2020,Estimativa oficial
,15,Vietname,97 338 579,2020,Estimativa oficial
,16,República Democrática do Congo,89 561 403,2020,Estimativa oficial
,17,Turquia,84 339 067,2020,Estimativa oficial
,18,Irã,83 992 949,2020,Estimativa oficial
,19,Alemanha,83 783 942,2020,Estimativa oficial
,20,Tailândia,69 799 978,2020,Estimativa oficial
,21,Reino Unido,67 886 011,2020,Estimativa oficial
,22,França,65 273 511,2020,Estimativa oficial
,23,Itália,60 461 826,2020,Estimativa oficial
,24,Tanzânia,59 734 218,2020,Estimativa oficial
,25,África do Sul,59 308 690,2020,Estimativa oficial
,26,Myanmar,54 409 800,2020,Estimativa oficial
,27,Quénia,53 771 296,2020,Estimativa oficial
,28,Coreia do Sul,51 269 185,2020,Estimativa oficial
,29,Colômbia,50 882 891,2020,Estimativa oficial
,30,Espanha,46 754 778,2020,Estimativa oficial
,31,Uganda,45 741 007,2020,Estimativa oficial
,32,Argentina,45 195 774,2020,Estimativa oficial
,33,Argélia,43 851 044,2020,Estimativa oficial
,34,Sudão,43 849 260,2020,Estimativa oficial
,35,Ucrânia,43 733 762,2020,Estimativa oficial
,36,Iraque,40 222 493,2020,Estimativa oficial
,37,Afeganistão,38 928 346,2020,Estimativa oficial
,38,Polónia,37 846 611,2020,Estimativa oficial
,39,Canadá,37 742 154,2020,Estimativa oficial
,40,Angola,36 996 710,2023,Estimativa oficial
,40,Marrocos,36 910 560,2020,Estimativa oficial
,41,Arábia Saudita,34 813 871,2020,Estimativa oficial
,42,Uzbequistão,33 469 203,2020,Estimativa oficial
,43,Peru,32 971 854,2020,Estimativa oficial
,45,Malásia,32 365 999,2020,Estimativa oficial
,46,Moçambique,31 255 435,2020,Estimativa oficial
,47,Gana,31 072 940,2020,Estimativa oficial
,48,Iémen,29 825 968,2020,Estimativa oficial
,49,Nepal,29 136 808,2020,Estimativa oficial
,50,Venezuela,28 435 940,2020,Estimativa oficial
,51,Madagascar,27 691 018,2020,Estimativa oficial
,52,Camarões,26 545 864,2020,Estimativa oficial
,53,Costa do Marfim,26 378 274,2020,Estimativa oficial
,54,Coreia do Norte,25 778 816,2020,Estimativa oficial
,55,Austrália,25 499 884,2020,Estimativa oficial
,56,Níger,24 206 644,2020,Estimativa oficial
,–,Taiwan,23 816 775,2020,Estimativa oficial
,57,Sri Lanka,21 413 249,2020,Estimativa oficial
,58,Burquina Fasso,20 903 273,2020,Estimativa oficial
,59,Mali,20 250 833,2020,Estimativa oficial
,60,Roménia,19 237 691,2020,Estimativa oficial
,61,Malawi,19 129 952,2020,Estimativa oficial
,62,Chile,19 116 201,2020,Estimativa oficial
,63,Cazaquistão,18 776 707,2020,Estimativa oficial
,64,Zâmbia,18 383 955,2020,Estimativa oficial
,65,Guatemala,17 915 568,2020,Estimativa oficial
,66,Equador,17 643 054,2020,Estimativa oficial
,67,Síria,17 500 657,2020,Estimativa oficial
,68,Países Baixos,17 134 872,2020,Estimativa oficial
,69,Senegal,16 743 927,2020,Estimativa oficial
,70,Camboja,16 718 965,2020,Estimativa oficial
,71,Chade,16 425 864,2020,Estimativa oficial
,72,Somália,15 893 222,2020,Estimativa oficial
,73,Zimbabwe,14 862 924,2020,Estimativa oficial
,74,Guiné,13 132 795,2020,Estimativa oficial
,75,Ruanda,12 952 218,2020,Estimativa oficial
,76,Benim,12 123 000,2020,Estimativa oficial
,77,Burundi,11 890 784,2020,Estimativa oficial
,78,Tunísia,11 818 619,2020,Estimativa oficial
,79,Bolívia,11 673 021,2020,Estimativa oficial
,80,Bélgica,11 589 623,2020,Estimativa oficial
,81,Haiti,11 402 528,2020,Estimativa oficial
,82,Cuba,11 326 616,2020,Estimativa oficial
,83,Sudão do Sul,11 193 725,2020,Estimativa oficial
,84,República Dominicana,10 847 910,2020,Estimativa oficial
,85,Chéquia,10 708 981,2020,Estimativa oficial
,86,Grécia,10 423 054,2020,Estimativa oficial
,87,Portugal,10 344 802,2021,Censo oficial
,88,Jordânia,10 203 134,2020,Estimativa oficial
,89,Azerbaijão,10 139 177,2020,Estimativa oficial
,90,Suécia,10 099 265,2020,Estimativa oficial
,91,Honduras,9 904 607,2020,Estimativa oficial
,92,Emirados Árabes Unidos,9 890 402,2020,Estimativa oficial
,93,Hungria,9 660 351,2020,Estimativa oficial
,94,Tajiquistão,9 537 645,2020,Estimativa oficial
,95,Bielorrússia,9 449 323,2020,Estimativa oficial
,96,Áustria,9 006 398,2020,Estimativa oficial
,97,Papua-Nova Guiné,8 947 024,2020,Estimativa oficial
